Entrada/Saída,Data,Movimentação,Produto,Instituição,Quantidade,Preço unitário,Valor da Operação
Debito,05/07/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,02/07/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,02/07/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/07/2021,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/07/2021,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,30/06/2021,Juros Sobre Capital Próprio,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,17 "," R$0,57 "
Credito,30/06/2021,Juros Sobre Capital Próprio,MDIA3 - M.DIAS BRANCO S/A INDUSTRIA E COMERCIO DE ALIMENTOS,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,05 "," R$0,13 "
Credito,29/06/2021,Juros Sobre Capital Próprio - Transferido,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,10 "," R$0,34 "
Debito,29/06/2021,Juros Sobre Capital Próprio - Transferido,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,10 "," R$0,34 "
Credito,29/06/2021,Juros Sobre Capital Próprio - Transferido,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,6," R$0,02 "," R$0,11 "
Debito,29/06/2021,Juros Sobre Capital Próprio - Transferido,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,6," R$0,02 "," R$0,11 "
Credito,21/06/2021,Leilão de Fração,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,0," R$28,09 "," R$11,23 "
Credito,18/06/2021,Juros Sobre Capital Próprio - Transferido,MDIA3 - M.DIAS BRANCO S/A INDUSTRIA E COMERCIO DE ALIMENTOS,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,05 "," R$0,13 "
Debito,18/06/2021,Juros Sobre Capital Próprio - Transferido,MDIA3 - M.DIAS BRANCO S/A INDUSTRIA E COMERCIO DE ALIMENTOS,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,05 "," R$0,13 "
Credito,17/06/2021,Rendimento,IRDM11 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,1," R$1,15 "," R$1,15 "
Credito,15/06/2021,Juros Sobre Capital Próprio - Transferido,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,17 "," R$0,57 "
Debito,15/06/2021,Juros Sobre Capital Próprio - Transferido,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,17 "," R$0,57 "
Credito,14/06/2021,Dividendo,CYRE3 - CYRELA BRAZIL REALTY S/A EMPREENDIMENTOS E PARTICIPACOES,NU INVEST CORRETORA DE VALORES S.A.,3," R$1,09 "," R$3,26 "
Debito,14/06/2021,Transferência - Liquidação,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,30," R$28,85 "," R$865,50 "
Credito,04/06/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,04/06/2021,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,02/06/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,02/06/2021,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,02/06/2021,Dividendo,SANB4 - BANCO SANTANDER (BRASIL) S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,42 "," R$1,68 "
Credito,01/06/2021,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
