Entrada/Saída,Data,Movimentação,Produto,Instituição,Quantidade,Preço unitário,Valor da Operação
Credito,12/08/2020,Juros Sobre Capital Próprio,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,04 "," R$0,10 "
Credito,12/08/2020,Juros Sobre Capital Próprio,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,03 "," R$0,08 "
Credito,12/08/2020,Dividendo,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,13 "," R$0,38 "
Credito,11/08/2020,Cessão de Direitos,IRBR1 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,1, - , - 
Debito,11/08/2020,Cessão de Direitos - Solicitada,IRBR1 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,1, - , - 
Credito,05/08/2020,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,05/08/2020,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,04/08/2020,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,04/08/2020,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,03/08/2020,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,03/08/2020,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,03/08/2020,Dividendo - Transferido,MGLU3 - MAGAZINE LUIZA S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,09 "," R$0,37 "
Debito,03/08/2020,Dividendo - Transferido,MGLU3 - MAGAZINE LUIZA S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,09 "," R$0,37 "
Debito,28/07/2020,Direitos de Subscrição - Não Exercido,IRDM12 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,0, - , - 
Credito,28/07/2020,Dividendo - Transferido,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,13 "," R$0,38 "
Debito,28/07/2020,Dividendo - Transferido,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,13 "," R$0,38 "
Credito,27/07/2020,Dividendo - Transferido,CYRE3 - CYRELA BRAZIL REALTY S/A EMPREENDIMENTOS E PARTICIPACOES,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,26 "," R$0,77 "
